"admin_area_1","admin_area_2","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government","ri Rivers State",2024,59325.444651908,56820.9246207594,0.105,203418.910142319,76282.0913033695,228846.273910109,254273.637677898
"ng Federal Government","so Sokoto State",2020,747795.305509591,716225.911755584,0.105,2564088.76408499,961533.286531872,2884599.85959562,3205110.95510624
"ng Federal Government","so Sokoto State",2021,742688.755298075,711334.942857784,0.105,2546579.09543087,954967.160786575,2864901.48235972,3183223.86928858
"ng Federal Government","so Sokoto State",2022,919692.341624149,880866.035212006,0.105,3153500.40605898,1182562.65227212,3547687.95681635,3941875.50757373
"ng Federal Government","so Sokoto State",2023,912248.062807374,873736.02872009,0.105,3127974.98281792,1172990.61855672,3518971.85567016,3909968.7285224
"ng Federal Government","so Sokoto State",2024,789285.427802073,755964.461127104,0.105,2706352.77083503,1014882.28906314,3044646.86718941,3382940.96354379
"ng Federal Government","ta Taraba State",2020,248365.304082564,237880.1592553,0.105,851610.970133975,319354.113800241,958062.341400722,1064513.71266747
"ng Federal Government","ta Taraba State",2021,187339.925959672,179431.06661689,0.105,642363.218488468,240886.206933176,722658.620799526,802954.023110585
"ng Federal Government","ta Taraba State",2022,198234.370071706,189865.584070694,0.105,679718.790973084,254894.546614907,764683.63984472,849648.488716356
"ng Federal Government","ta Taraba State",2023,206936.450676577,198200.292204689,0.105,709557.046092786,266083.892284795,798251.676854385,886946.307615983
"ng Federal Government","ta Taraba State",2024,204370.026949841,195742.214225208,0.105,700757.126926245,262783.922597342,788351.767792026,875946.408657807
"ng Federal Government","yo Yobe State",2020,369916.36133619,354299.741144768,0.105,1268393.07329827,475647.402486851,1426942.20746055,1585491.34162284
"ng Federal Government","yo Yobe State",2021,464135.094623577,444540.877530652,0.105,1591456.34155973,596796.1280849,1790388.3842547,1989320.42694967
"ng Federal Government","yo Yobe State",2022,444983.089371825,426197.405296581,0.105,1525786.71096176,572170.016610661,1716510.04983198,1907233.3887022
"ng Federal Government","yo Yobe State",2023,452136.35728201,433048.686380129,0.105,1550314.29724086,581367.861465323,1744103.58439597,1937892.87155108
"ng Federal Government","yo Yobe State",2024,490706.438006438,469990.468482539,0.105,1682565.87716749,630962.203937809,1892886.61181343,2103207.34645936
"ng Federal Government","za Zamfara State",2020,808469.145383566,774338.306903393,0.105,2772131.13871415,1039549.17701781,3118647.53105342,3465163.92339269
"ng Federal Government","za Zamfara State",2021,847275.541701733,811506.428152814,0.105,2905193.01278707,1089447.37979515,3268342.13938546,3631491.26598384
"ng Federal Government","za Zamfara State",2022,878055.739577762,840987.189967375,0.105,3010734.1400832,1129025.3025312,3387075.9075936,3763417.675104
"ng Federal Government","za Zamfara State",2023,833083.028645041,797913.075093175,0.105,2856528.80883357,1071198.30331259,3213594.90993776,3570661.01104196
"ng Federal Government","za Zamfara State",2024,748786.807643997,717175.556016507,0.105,2567488.4905391,962808.183952161,2888424.55185648,3209360.61317387
"ng Federal Government","North Central",2020,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North Central",2021,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North Central",2022,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North Central",2023,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North Central",2024,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North East",2020,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North East",2021,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North East",2022,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North East",2023,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North East",2024,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North West",2020,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North West",2021,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North West",2022,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North West",2023,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","North West",2024,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South East",2020,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South East",2021,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South East",2022,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South East",2023,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South East",2024,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South South",2020,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South South",2021,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South South",2022,NA,NA,0.105,NA,NA,NA,NA
"ng Federal Government","South South",2023,NA,NA,0.105,NA,NA,NA,NA
